Rho,Potential
-3.4267133566783397,0.5504845489527753
-3.4167083541770884,0.5859533772098895
-3.406703351675838,0.6236664815822971
-3.3966983491745877,0.6637693466496555
-3.3866933466733364,0.7064171804624654
-3.376688344172086,0.751775581261916
-3.3666833416708357,0.8000212506025676
-3.3566783391695854,0.8513427561024881
-3.346673336668334,0.9059413472636147
-3.3366683341670837,0.9640318280364383
-3.3266633316658334,1.0258434900492062
-3.316658329164582,1.091621110682443
-3.306653326663332,1.1616260204462847
-3.2966483241620814,1.2361372444111802
-3.28664332166083,1.3154527227523287
-3.27663831915958,1.399890615796333
-3.2666333166583295,1.489790699304954
-3.256628314157079,1.5855158560960612
-3.246623311655828,1.6874536704874954
-3.2366183091545775,1.7960181324546982
-3.226613306653327,1.911651458819729
-3.216608304152076,2.0348260392362434
-3.2066033016508255,2.1660465152045285
-3.196598299149575,2.305852000841231
-3.186593296648324,2.4548184546406873
-3.1765882941470736,2.6135612119991474
-3.166583291645823,2.782737688828386
-3.156578289144573,2.9630502671612704
-3.1465732866433216,3.1552493742477514
-3.1365682841420712,3.360136767254491
-3.126563281640821,3.57856903631314
-3.1165582791395696,3.811461339308987
-3.1065532766383193,4.059791382461856
-3.096548274137069,4.324603661420466
-3.0865432716358185,4.607013978267076
-3.0765382691345673,4.908214250506964
-3.066533266633317,5.2294776287915425
-3.0565282641320666,5.572163940789299
-3.0465232616308153,5.9377254792672725
-3.036518259129565,6.327713153070705
-3.0265132566283146,6.743783020280811
-3.0165082541270634,7.187703223376059
-3.006503251625813,7.661361346714961
-2.9964982491245626,8.166772217079465
-2.9864932466233123,8.706086168352668
-2.976488244122061,9.281597791639493
-2.9664832416208107,9.895755192247305
-2.9564782391195603,10.551169774912061
-2.946473236618309,11.250626578450722
-2.9364682341170587,11.997095180624205
